"name","num_papers","Region","pop","Region_updated"
"Puerto Rico",122,"East Asia and Pacific",3221789,"North America"
"Botswana",118,"Sub-Saharan Africa",2630296,"Sub-Saharan Africa"
"Venezuela, Bolivarian Republic of",114,"Europe",28301696,"Latin America & Caribbean"
"Mongolia",109,"Middle East and North Africa",3398366,"East Asia and Pacific"
"Fiji",103,"Europe",929766,"East Asia and Pacific"
"Myanmar",103,"Sub-Saharan Africa",2567012,"East Asia and Pacific"
"Cambodia",101,"Sub-Saharan Africa",16767842,"East Asia and Pacific"
"Albania",95,"Middle East and North Africa",2777689,"Eastern Europe"
"Libya",94,"East Asia and Pacific",6812341,"Middle East and North Africa"
"Trinidad and Tobago",94,"Latin America & Caribbean",1531044,"Latin America & Caribbean"
"Rwanda",86,"Middle East and North Africa",13776698,"Sub-Saharan Africa"
"Georgia",85,"Sub-Saharan Africa",3712502,"Eastern Europe"
"Zambia",84,"Sub-Saharan Africa",20017675,"Sub-Saharan Africa"
"Namibia",83,"Latin America & Caribbean",12668,"Sub-Saharan Africa"
"Syrian Arab Republic",82,"Sub-Saharan Africa",22125249,"Middle East and North Africa"
"Malawi",71,"East Asia and Pacific",20405317,"Sub-Saharan Africa"
"Senegal",70,"Sub-Saharan Africa",17316449,"Sub-Saharan Africa"
"Bolivia, Plurinational State of",66,"Latin America & Caribbean",12224110,"Latin America & Caribbean"
"Jamaica",65,"Sub-Saharan Africa",2827377,"Latin America & Caribbean"
"Montenegro",61,"Europe",617213,"Southern Europe"
"Moldova, Republic of",54,"Middle East and North Africa",2538894,"Eastern Europe"
"Burundi",52,"Latin America & Caribbean",12889576,"Sub-Saharan Africa"
"Liechtenstein",52,"Middle East and North Africa",39327,"Western Europe"
"Kyrgyzstan",51,"Sub-Saharan Africa",6974900,"Central Asia"
"Afghanistan",50,"East Asia and Pacific",41128771,"South Asia"
"Armenia",49,"Sub-Saharan Africa",2780469,"Western Asia"
"Kosovo",49,"Sub-Saharan Africa",1761985,"Southern Europe"
"Benin",48,"Sub-Saharan Africa",13352864,"Sub-Saharan Africa"
"Mozambique",47,"Latin America & Caribbean",54179306,"Sub-Saharan Africa"
"Panama",45,"Sub-Saharan Africa",4408581,"Latin America & Caribbean"
"Tajikistan",44,"Europe",9952787,"Central Asia"
"Paraguay",39,"Latin America & Caribbean",6780744,"Latin America & Caribbean"
"Mali",34,"Latin America & Caribbean",22593590,"Sub-Saharan Africa"
"Côte d'Ivoire",29,"Central Asia",28160542,"Sub-Saharan Africa"
"Guatemala",29,"Europe",17357886,"Latin America & Caribbean"
"Faroe Islands",27,"Sub-Saharan Africa",53090,"Northern Europe"
"Cayman Islands",27,"Sub-Saharan Africa",68706,"Latin America & Caribbean"
"Burkina Faso",26,"Latin America & Caribbean",22673762,"Sub-Saharan Africa"
"Honduras",25,"Sub-Saharan Africa",10432860,"Latin America & Caribbean"
"Papua New Guinea",25,"Latin America & Caribbean",10142619,"East Asia and Pacific"
"South Sudan",25,"East Asia and Pacific",10913164,"Sub-Saharan Africa"
"Barbados",23,"Latin America & Caribbean",281635,"Latin America & Caribbean"
"Congo, Democratic Republic of the",23,"Sub-Saharan Africa",5970424,"Sub-Saharan Africa"
"Bhutan",22,"East Asia and Pacific",782455,"South Asia"
"Dominican Republic",22,"Sub-Saharan Africa",11228821,"Latin America & Caribbean"
"Lesotho",20,"Sub-Saharan Africa",2305825,"Sub-Saharan Africa"
"Eswatini",20,"Sub-Saharan Africa",1348840,"Sub-Saharan Africa"
"Monaco",19,"South Asia",36469,"Southern Europe"
"Madagascar",19,"Sub-Saharan Africa",29611714,"Sub-Saharan Africa"
"Gambia",18,"Sub-Saharan Africa",2705992,"Sub-Saharan Africa"
"New Caledonia",16,"Latin America & Caribbean",269220,"East Asia and Pacific"
"French Polynesia",16,"Sub-Saharan Africa",306279,"East Asia and Pacific"
"Grenada",15,"Latin America & Caribbean",125438,"Latin America & Caribbean"
"Nicaragua",15,"Europe",6948392,"Latin America & Caribbean"
"Réunion",15,"East Asia and Pacific",905120,"Sub-Saharan Africa"
"Sierra Leone",14,"East Asia and Pacific",8605718,"Sub-Saharan Africa"
"Angola",13,"Europe",35588987,"Sub-Saharan Africa"
"Lao People's Democratic Republic",13,"East Asia and Pacific",7529475,"East Asia and Pacific"
"Liberia",13,"Sub-Saharan Africa",5302681,"Sub-Saharan Africa"
"Togo",11,"Latin America & Caribbean",8848699,"Sub-Saharan Africa"
"Niger",10,"Latin America & Caribbean",26207977,"Sub-Saharan Africa"
"Timor-Leste",10,"North America",1341296,"East Asia and Pacific"
"Congo",9,"Sub-Saharan Africa",99010212,"Sub-Saharan Africa"
"Guadeloupe",8,"East Asia and Pacific",404115,"Latin America & Caribbean"
"Guam",8,"Sub-Saharan Africa",171774,"East Asia and Pacific"
"Guyana",8,"South Asia",808726,"Latin America & Caribbean"
"Mauritania",8,"Latin America & Caribbean",4736139,"Sub-Saharan Africa"
"El Salvador",8,"Sub-Saharan Africa",6336392,"Latin America & Caribbean"
"Bahamas",7,"Latin America & Caribbean",409984,"Latin America & Caribbean"
"Gibraltar",7,"Central Asia",32649,"Southern Europe"
"Maldives",7,"Sub-Saharan Africa",523787,"South Asia"
"Somalia",7,"Latin America & Caribbean",17597511,"Sub-Saharan Africa"
"Gabon",6,"Europe",2388992,"Sub-Saharan Africa"
"Greenland",6,"South Asia",56661,"North America"
"San Marino",6,"Sub-Saharan Africa",33660,"Southern Europe"
"Virgin Islands, U.S.",6,"Latin America & Caribbean",5043612,"Latin America & Caribbean"
"Samoa",6,"Latin America & Caribbean",222382,"East Asia and Pacific"
"Korea, Democratic People's Republic of",5,"Sub-Saharan Africa",26069416,"East Asia and Pacific"
"French Guiana",4,"Sub-Saharan Africa",311343,"Latin America & Caribbean"
"Isle of Man",4,"Latin America & Caribbean",84519,"Northern Europe"
"Kiribati",4,"Latin America & Caribbean",131232,"East Asia and Pacific"
"Saint Kitts and Nevis",4,"Sub-Saharan Africa",53889,"Latin America & Caribbean"
"Martinique",4,"Latin America & Caribbean",41569,"Latin America & Caribbean"
"Suriname",4,"Sub-Saharan Africa",618040,"Latin America & Caribbean"
"Sao Tome",4,"Sub-Saharan Africa",226575,"Sub-Saharan Africa"
"Turks and Caicos Islands",4,"East Asia and Pacific",45703,"Latin America & Caribbean"
"Antigua and Barbuda",3,"Latin America & Caribbean",93763,"Latin America & Caribbean"
"Aruba",3,"Europe",106445,"Latin America & Caribbean"
"Cabo Verde",3,"Latin America & Caribbean",593149,"Sub-Saharan Africa"
"Eritrea",3,"Sub-Saharan Africa",1674908,"Sub-Saharan Africa"
"Jersey",3,"Sub-Saharan Africa",103200,"Northern Europe"
"Seychelles",3,"Sub-Saharan Africa",119878,"Sub-Saharan Africa"
"Chad",3,"Europe",17723315,"Sub-Saharan Africa"
"Vanuatu",3,"Latin America & Caribbean",326740,"East Asia and Pacific"
"Andorra",2,"East Asia and Pacific",79824,"Southern Europe"
"Bermuda",2,"East Asia and Pacific",63532,"Latin America & Caribbean"
"Curaçao",2,"Europe",149996,"Latin America & Caribbean"
"Falkland Islands ",2,"East Asia and Pacific",123379924,"Latin America & Caribbean"
"Montserrat",2,,37457971,"Latin America & Caribbean"
