model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,type,efficient,dataset,cnn,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,M_n,pepr_m
ecaresnetlight,30162046,25.435111424,4.179623936,0.495186432,3.758538752,0.035572535436,1.849771842698,22.2149178981781,0,0.765625,1.72154722213745,0.949196310075995,0.762096774193548,0.780745967741936,0.76008064516129,0.773689516129032,0.747983870967742,0.808467741935484,0.787298387096774,0.792338709677419,0.745967741935484,Other,0,derma_pt,False,0.10200217394767272,0.6769203905135902,0.07658721292816492,0.6929004292244539,0.09958809132709368,0.6784065304264754,0.12286995515695065,0.6643402813562818
dpn92,37668392,25.435111424,8.438939648,0.60009984,7.16241408,0.093881532375,5.116543514431,57.6319777965546,0,0.683971774193548,4.3796172618866,0.917941706909981,0.747479838709677,0.789818548387097,0.718245967741936,0.744959677419355,0.775201612903226,0.760584677419355,0.773689516129032,0.78679435483871,0.745967741935484,CNN,0,derma_pt,True,0.34156575917841836,0.5560426217141368,0.27534750015915904,0.5849133211476791,0.3365715043851967,0.5581203396062362,0.3252615844544095,0.5628833965202332
gluon_resnet34_v1b,21797672,25.435111424,2.292187136,0.389481472,1.657467904,0.023217342939,1.230519175777,14.8297674655914,0,0.664314516129032,1.16887736320496,0.954618684505219,0.741935483870968,0.746975806451613,0.771673387096774,0.761592741935484,0.779233870967742,0.773689516129032,0.780745967741936,0.780241935483871,0.748991935483871,CNN,0,derma_pt,True,0.051240638572715366,0.7124838100825214,0.038910004260415416,0.7209401511318271,0.05017240971818213,0.7132085441902496,0.03318385650224214,0.7249357708893369
dla60x,17352344,25.435111424,6.824132608,0.290201088,5.580062208,0.050317219727,2.616495425812,31.6223018169403,0,0.782258064516129,2.14118413925171,0.953753314061796,0.795866935483871,0.779737903225807,0.754032258064516,0.779737903225807,0.761088709677419,0.79133064516129,0.819556451612903,0.808467741935484,0.75,CNN,0,derma_pt,True,0.16258098026023407,0.645116351234405,0.123236998992237,0.6677130478010397,0.16253498628147617,0.6451418743094997,0.24853014449427005,0.6007063612419188
convnext_atto,3695520,25.435111424,1.59383552,0.09845248,1.502295552,0.018526567741,1.056014361265,11.8900804519653,0,0.669354838709677,0.683029842376709,0.786055567602044,0.676411290322581,0.711189516129032,0.701612903225807,0.710685483870968,0.718245967741936,0.716229838709677,0.72429435483871,0.758064516129032,0.75554435483871,CNN,0,derma_pt,True,0.031968502488468525,0.7321389684053391,0.02829260257430476,0.7347561899669643,0.030502311076153695,0.7331806505603028,0.0,0.75554435483871
halo2botnet50ts_256,22635360,25.435111424,7.279214592,0.377660928,6.572424192,0.053686675264,2.925923801864,33.217118024826,0,0.704133064516129,2.76547498703003,0.894549086757991,0.738407258064516,0.737903225806452,0.745463709677419,0.77116935483871,0.765625,0.764112903225807,0.734375,0.75,0.759576612903226,Other,0,derma_pt,False,0.1764244502407545,0.6456654422200925,0.14206355899754317,0.665091366342125,0.17320625569880177,0.6474365519392805,0.2701544593921275,0.5980190891639631
res2next50,24671464,25.435111424,6.043992064,0.40476928,5.48699904,0.052502249314,2.677614715002,32.6691992282867,0,0.757560483870968,2.31788651943207,0.949196310075995,0.669354838709677,0.796875,0.786290322580645,0.794858870967742,0.777217741935484,0.783266129032258,0.801411290322581,0.750504032258065,0.762096774193548,CNN,0,derma_pt,True,0.17155821446380964,0.650498425758842,0.12695568174557254,0.6762437836181059,0.169540009351557,0.6516209519126132,0.2114598903836572,0.62907305495042
pvt_v2_b0,3666760,25.435111424,3.883925504,0.096902144,2.32384512,0.028399477007,1.618770189423,18.3465096950531,0,0.732358870967742,1.19646775722504,0.849872035522984,0.719758064516129,0.728326612903226,0.761592741935484,0.781754032258065,0.707157258064516,0.758568548387097,0.761088709677419,0.777721774193548,0.763608870967742,Other,1,derma_pt,False,0.07253153160205718,0.711968691332671,0.06253237237929468,0.7186688055986634,0.07370371295946555,0.7111914225042545,0.10881913303437965,0.6886685557797511
dla102,33268888,25.435111424,7.153385472,0.549003776,6.310932992,0.057854945844,3.008457183885,35.8563592433929,0,0.693548387096774,2.89658305644989,0.928215679512721,0.748991935483871,0.721774193548387,0.778225806451613,0.738407258064516,0.730342741935484,0.709173387096774,0.720766129032258,0.723286290322581,0.764616935483871,CNN,0,derma_pt,True,0.19354986650200992,0.640624205945218,0.14708514004607015,0.6665738303027462,0.19086600480429658,0.64206798447448,0.2641753861484803,0.6048345378827562
maxvit_nano_rw_256,15451148,25.435111424,9.313452032,0.28503552,8.43572736,0.061429731881,3.132916325913,38.655298948288,0,0.582157258064516,3.3161167383194,0.814888974847315,0.643649193548387,0.718245967741936,0.736895161290323,0.745463709677419,0.734879032258065,0.762600806451613,0.760584677419355,0.757560483870968,0.766633064516129,Other,0,derma_pt,False,0.2082369406143024,0.6345055665375955,0.1546576113736684,0.6639483921160698,0.20959433194701024,0.6337935324830156,0.3668161434977578,0.560889676466853
selecsls60,30670768,25.435111424,2.982150144,0.521860096,2.843708928,0.026988791918,1.403417179751,17.2133784294128,0,0.746471774193548,1.3588310956955,0.952050191354534,0.765625,0.722782258064516,0.763608870967742,0.707661290322581,0.760584677419355,0.769153225806452,0.718245967741936,0.742943548387097,0.768649193548387,CNN,0,derma_pt,True,0.06673570599548846,0.7205619810307895,0.049429642724559214,0.7324447130660403,0.06612168001983705,0.720976984103808,0.06596910812157447,0.7210801773635658
halonet50ts,22733280,25.435111424,7.254048768,0.379397632,6.532261888,0.047862629401,2.584581987649,29.8075947761536,0,0.726310483870968,2.39475634098053,0.898107232024136,0.721774193548387,0.770161290322581,0.751008064516129,0.736391129032258,0.804435483870968,0.747479838709677,0.773689516129032,0.783266129032258,0.769657258064516,Other,0,derma_pt,False,0.1524962508078576,0.667817580773052,0.12129528871272993,0.6864001532977976,0.1503923784687391,0.6690389057418732,0.26895864474339803,0.6065266675575168
crossvit_9_240,8553296,25.435111424,2.344615936,0.172932096,1.929966592,0.023208169962,1.241637092978,14.4138154983521,0,0.644153225806452,1.21421144008636,0.890406355738095,0.736895161290323,0.752016129032258,0.75554435483871,0.766633064516129,0.767641129032258,0.782258064516129,0.773185483870968,0.759072580645161,0.770161290322581,Other,1,derma_pt,False,0.051202951228176447,0.732647572405272,0.03958645203159034,0.7408342892671497,0.0473891827324458,0.7353152992408913,0.03567513702042849,0.7436321128054556
repvgg_a2,28210600,25.435111424,2.413821952,0.480677376,2.080165888,0.036186131632,1.899771910663,22.5413303375244,0,0.751512096774194,1.76796441078186,0.97203196347032,0.745967741935484,0.77570564516129,0.751512096774194,0.741935483870968,0.732358870967742,0.761592741935484,0.792842741935484,0.767641129032258,0.774697580645161,CNN,1,derma_pt,True,0.10452314519249596,0.7013864616754111,0.079629368569554,0.7175588245358592,0.10177218944712009,0.7031377158230067,0.03896362730443448,0.7456445637611923
resnetblur50,25557032,25.435111424,5.458886656,0.423719424,4.737941504,0.041307168094,2.06535840468,25.7957060337067,0,0.718245967741936,2.09183828830719,0.965744218325506,0.752520161290323,0.769657258064516,0.770665322580645,0.76008064516129,0.785786290322581,0.801915322580645,0.811995967741935,0.798891129032258,0.775201612903226,CNN,0,derma_pt,True,0.125563017585045,0.6887234217826933,0.0897041526131332,0.711387224729094,0.12354793994892768,0.6899586438104847,0.18365719980069753,0.6549207093352309
selecsls60b,32774064,25.435111424,3.126853632,0.559498752,2.881550848,0.027199844238,1.414391900351,17.3195884227753,0,0.750504032258065,1.36076226234436,0.956478310502283,0.776209677419355,0.766129032258065,0.78679435483871,0.737399193548387,0.773185483870968,0.735383064516129,0.767137096774194,0.789314516129032,0.780745967741936,CNN,0,derma_pt,True,0.06760281832985703,0.7313075184302381,0.05009737798062586,0.7434986355678155,0.06683235467211325,0.7318356668906009,0.0728450423517688,0.72773414325565
dpn68,12611602,25.435111424,4.496293888,0.22129664,4.234037248,0.042639517645,2.259894435192,26.8967339992523,0,0.725302419354839,1.84841840267181,0.95718257448989,0.749495967741936,0.779233870967742,0.761592741935484,0.752520161290323,0.760584677419355,0.790322580645161,0.782762096774194,0.776209677419355,0.78125,CNN,0,derma_pt,True,0.13103700019448775,0.690737791836748,0.10154031417774921,0.7092341423592549,0.13091516257825092,0.6908122075389923,0.1379172894867962,0.6865613232332078
halonet26t,12480288,25.435111424,3.745513472,0.20950784,3.038918656,0.028246463532,1.497062567206,17.5580914020538,0,0.727318548387097,1.37558934688568,0.915943990015004,0.766129032258065,0.776209677419355,0.761088709677419,0.790322580645161,0.725806451612903,0.780745967741936,0.766633064516129,0.801915322580645,0.781754032258065,Other,0,derma_pt,False,0.07190287292871447,0.7293142429239989,0.055127311854443486,0.7409096736242092,0.06842823107224706,0.7316860501463133,0.1022421524663677,0.7092398258484479
dla102x2,41282200,25.435111424,13.849591808,0.678949376,11.667866112,0.11157295969,6.471231662044,69.2799923419952,0,0.747983870967742,4.78634507656097,0.930788775829419,0.767641129032258,0.66179435483871,0.754032258064516,0.752520161290323,0.796875,0.764616935483871,0.792842741935484,0.813508064516129,0.784778225806452,CNN,0,derma_pt,True,0.4142513133453741,0.5549071925201751,0.3577708319328007,0.5779901934476763,0.41451095645291264,0.5548053355305179,0.5823617339312406,0.4959537436845989
dla60,22036632,25.435111424,5.3477376,0.366935552,4.423618048,0.03859849259,2.065019353578,24.0255043506622,0,0.738911290322581,1.88176352977753,0.939778501856817,0.774697580645161,0.817036290322581,0.8125,0.807963709677419,0.740423387096774,0.682963709677419,0.751512096774194,0.748487903225807,0.785786290322581,CNN,0,derma_pt,True,0.11443437451056744,0.7050987552925037,0.0896835237167207,0.7211142255711097,0.11170312736841435,0.706831051364106,0.1783756851021425,0.6668385136056744
darknetaa53,36022984,25.435111424,5.637144576,0.607592448,4.551947264,0.041467160019,2.239226641031,26.2249088287354,0,0.698084677419355,2.01352870464325,0.971889269406393,0.770665322580645,0.745967741935484,0.714717741935484,0.776713709677419,0.831149193548387,0.756552419354839,0.829637096774193,0.830141129032258,0.786290322580645,CNN,0,derma_pt,True,0.12622034734842727,0.6981673918713035,0.10028282295501796,0.7146256454944134,0.12641983116609337,0.6980437496085814,0.1921275535625311,0.6595689531970887
dla34,15742104,25.435111424,2.95698432,0.275754496,2.290753024,0.026196202847,1.336006345194,16.5860049724579,0,0.756552419354839,1.26055567264557,0.963470319634703,0.821068548387097,0.773185483870968,0.716733870967742,0.589717741935484,0.780745967741936,0.797883064516129,0.765625,0.80241935483871,0.787298387096774,CNN,0,derma_pt,True,0.0634793392351049,0.7403043557602437,0.04532816328693373,0.7531590697998513,0.06192378489478043,0.7413887873081048,0.06477329347284504,0.7394047088924779
sehalonet33ts,13691712,25.435111424,5.637144576,0.243127296,4.795500032,0.03766964302,1.958821437039,23.4673907756805,0,0.73991935483871,1.86933417320251,0.94347473856521,0.787298387096774,0.793346774193548,0.775201612903226,0.783770161290323,0.774697580645161,0.783266129032258,0.765120967741936,0.813508064516129,0.790826612903226,Other,0,derma_pt,False,0.11061817898653836,0.7120598490697058,0.0832221206816481,0.7300687438007414,0.10796866549459615,0.7137626157958192,0.1921275535625311,0.663374158696303
densenet201,20013928,25.435111424,9.432989696,0.333123072,8.87023104,0.061919747566,3.219826873447,38.829425573349,0,0.763104838709677,2.96817545890808,0.955051369863014,0.787298387096774,0.795362903225807,0.799395161290323,0.786290322580645,0.729334677419355,0.79133064516129,0.754032258064516,0.778225806451613,0.790826612903226,CNN,0,derma_pt,True,0.2102501790591466,0.6534406080551194,0.15994551243535995,0.681779104643328,0.2107594518646332,0.6531657561585098,0.3724962630792227,0.5761958222960772
gluon_inception_v3,23834568,25.435111424,3.015704576,0.39816192,2.6130432,0.028147600512,1.463675226619,17.6806585788727,0,0.773185483870968,1.25900003910065,0.962609552085127,0.75554435483871,0.769153225806452,0.793346774193548,0.787298387096774,0.80695564516129,0.805443548387097,0.799899193548387,0.788810483870968,0.790826612903226,CNN,0,derma_pt,True,0.07149669239464157,0.7380579133061455,0.05309592488535337,0.7509540149339391,0.06924835527156746,0.7396098474262998,0.06756352765321375,0.740777098897029
xception41p,26907752,25.435111424,6.94157312,0.443983872,5.967741952,0.048588339196,2.502299468588,30.5714302062988,0,0.748487903225807,2.26300423145294,0.972317351598174,0.780745967741936,0.810987903225806,0.786290322580645,0.800403225806452,0.773689516129032,0.758064516129032,0.809475806451613,0.841733870967742,0.790826612903226,CNN,0,derma_pt,True,0.15547784283402719,0.6844152121200132,0.11628897092683516,0.7084425569900745,0.1555033709613376,0.6844000915767874,0.25411061285500747,0.6305876090968512
densenet169,14149480,25.435111424,7.537164288,0.243029504,6.892307456,0.048852029744,2.515879531817,30.8476948738098,0,0.725302419354839,2.33236474990845,0.956759095464123,0.761592741935484,0.768145161290323,0.796370967741936,0.778729838709677,0.809475806451613,0.804939516129032,0.775201612903226,0.755040322580645,0.79133064516129,CNN,0,derma_pt,True,0.15656122029525196,0.6842099071584604,0.11711522312296102,0.7083697623859058,0.15735191920339878,0.6837424572691426,0.28241155954160435,0.6170644979558276
res2net50_14w_8s,25059816,25.435111424,5.985271808,0.415425024,5.305048576,0.046046582489,2.256282541984,28.840635061264,0,0.737903225806452,2.22043409347534,0.940349278112525,0.742439516129032,0.762096774193548,0.782762096774194,0.787298387096774,0.792842741935484,0.788306451612903,0.77116935483871,0.788306451612903,0.80241935483871,CNN,0,derma_pt,True,0.1450349887038107,0.7007815156347803,0.10132055565049075,0.7285974557741401,0.1439222362778925,0.7014632021225774,0.20866965620328848,0.6638864066127838
selecsls42b,32458248,25.435111424,2.71581184,0.550672384,2.488883712,0.024588758494,1.278615441698,15.4598326683044,0,0.72429435483871,1.20244772434235,0.961044520547945,0.767641129032258,0.759576612903226,0.788810483870968,0.776713709677419,0.771673387096774,0.796370967741936,0.749495967741936,0.733366935483871,0.80241935483871,CNN,0,derma_pt,True,0.056875124577348855,0.7592376205841751,0.04183632681669157,0.7701971357540249,0.05438831591187826,0.7610283068669484,0.05331340308918784,0.7618049409466845
cs3se_edgenet_x,50721584,25.435111424,6.922698752,0.845698048,6.423872,0.060013795588,4.290986384574,38.4159939289093,0,0.76008064516129,2.78939065933228,0.973449697777561,0.80241935483871,0.746975806451613,0.809475806451613,0.833165322580645,0.817540322580645,0.780745967741936,0.822076612903226,0.788306451612903,0.807963709677419,Other,1,derma_pt,False,0.20241954033961965,0.6719482531440002,0.22511810283830958,0.6594986294019799,0.20799308891845217,0.6688479570696965,0.25321375186846035,0.6447134086047154
densenet161,28681000,25.435111424,11.62870784,0.476564992,10.643923456,0.082573367298,4.252528415852,50.9781241416931,0,0.727318548387097,4.06232786178589,0.940639269406393,0.740927419354839,0.796875,0.802923387096774,0.773185483870968,0.747983870967742,0.785786290322581,0.80695564516129,0.808971774193548,0.808971774193548,CNN,0,derma_pt,True,0.2951059551954879,0.6246375217010248,0.22277820348885477,0.6615850461558554,0.29204909191948847,0.6261153537066667,0.4768310911808669,0.5477754219994774
legacy_seresnet50,28088024,25.435111424,5.532286976,0.463534592,4.790603776,0.040723320534,2.158335988313,25.2969405651093,0,0.785786290322581,1.96220819950104,0.97902397260274,0.736391129032258,0.783770161290323,0.655745967741936,0.796370967741936,0.797883064516129,0.80241935483871,0.815524193548387,0.788306451612903,0.809979838709677,CNN,0,derma_pt,True,0.12316426915779721,0.7211588375376641,0.0953611905349587,0.7394636999272308,0.12021058943471533,0.7230603302173852,0.18714499252615843,0.6822922589987082
gluon_resnext101_32x4d,44177704,25.435111424,8.055160832,0.725233664,7.61825024,0.074586265173,4.848107236267,45.8726401329041,0,0.764112903225807,3.56621587276459,0.967751141552511,0.782762096774194,0.815020161290323,0.784274193548387,0.800403225806452,0.798891129032258,0.790826612903226,0.763608870967742,0.790826612903226,0.810483870967742,CNN,0,derma_pt,True,0.2622907993684921,0.6420738164084034,0.25901502360049233,0.6437444000071938,0.25788716461134836,0.644321600354479,0.3070254110612855,0.6200980211315409
